Wall time,Step,Value
1766884927.868047,3000,920.0
1766884928.500072,3500,899.0
1766884930.6985395,5500,903.0
1766884931.2296605,6000,906.0
1766884932.4164214,7000,896.0
1766884932.9858522,7500,895.0
1766884933.5160234,8000,898.0
1766884934.6020389,9000,900.0
1766884935.1118221,9500,904.0
1766884935.6317892,10000,907.0
1766884936.1697938,10500,908.0
1766884938.3412108,12500,910.0
1766884943.5290244,17000,898.0
1766884944.1842637,17500,894.0
1766884945.5037706,18500,885.0
1766884947.4011276,20000,877.0
1766884948.0003912,20500,876.0
1766884949.1232126,21500,877.0
1766884950.262739,22500,877.0
1766884950.808578,23000,877.0
1766884951.9843664,24000,876.0
1766884953.6517668,25000,860.0
1766884954.3847418,25500,856.0
1766884956.3877678,27000,849.0
1766884957.1064618,27500,846.0
1766884957.9555452,28000,839.0
1766884958.7801716,28500,834.0
1766884959.4754124,29000,831.0
1766884961.354284,30500,830.0
1766884961.9933438,31000,829.0
1766884963.258945,32000,827.0
1766884964.6076531,33000,825.0
1766884965.2327895,33500,824.0
1766884965.9010415,34000,823.0
1766884966.5307071,34500,822.0
1766884968.4425642,36000,821.0
1766884969.139837,36500,819.0
1766884969.7338943,37000,819.0
1766884970.410204,37500,818.0
1766884971.7592103,38500,816.0
1766884973.746436,40000,814.0
1766884977.37408,42500,805.0
1766884978.042986,43000,804.0
1766884978.7015088,43500,804.0
1766884979.316584,44000,804.0
1766884979.9658425,44500,803.0
1766884980.7031977,45000,802.0
1766884984.0245512,47500,799.0
1766884989.230052,51500,796.0
1766884991.1946337,53000,795.0
1766884991.8061745,53500,796.0
1766884996.1754541,57000,796.0
1766884998.0813491,58500,796.0
1766884999.3220854,59500,796.0
1766885000.035354,60000,795.0
1766885000.67591,60500,795.0
1766885003.2973459,62500,794.0
1766885003.958358,63000,793.0
1766885004.6452851,63500,793.0
1766885006.849178,65000,790.0
1766885007.5139987,65500,790.0
1766885009.4695709,67000,789.0
1766885012.0237277,69000,789.0
1766885013.285977,70000,789.0
1766885014.5531127,71000,789.0
1766885015.2497485,71500,788.0
1766885015.914893,72000,788.0
1766885016.6862824,72500,787.0
1766885019.9381225,74500,781.0
1766885021.3491635,75500,780.0
1766885023.553822,77000,778.0
1766885024.2662604,77500,777.0
1766885024.9749732,78000,777.0
1766885026.2987466,79000,776.0
1766885027.0202692,79500,776.0
1766885027.739671,80000,775.0
1766885029.7984657,81500,774.0
1766885031.1918027,82500,774.0
1766885031.8524823,83000,773.0
1766885033.193296,84000,773.0
1766885033.8314877,84500,773.0
1766885035.9136262,86000,772.0
1766885039.2901752,88500,771.0
1766885039.957623,89000,771.0
1766885040.6763904,89500,771.0
1766885041.9761353,90500,771.0
1766885042.6604247,91000,770.0
1766885044.0033438,92000,770.0
1766885045.3260972,93000,770.0
1766885046.0146432,93500,770.0
1766885046.654564,94000,770.0
1766885047.3096733,94500,770.0
1766885048.714916,95500,769.0
1766885049.4292004,96000,769.0
1766885054.197473,99500,767.0
1766885057.284285,101500,765.0
1766885060.7432334,103500,760.0
1766885061.4810624,104000,759.0
1766885062.3230019,104500,758.0
1766885065.372426,106500,756.0
1766885067.4012988,108000,756.0
1766885069.3966582,109500,756.0
1766885070.1731913,110000,755.0
1766885072.6180232,111500,753.0
1766885073.5006528,112000,752.0
1766885075.1021035,113000,750.0
1766885075.7984903,113500,750.0
1766885076.522544,114000,750.0
1766885078.03785,115000,749.0
1766885078.7375593,115500,749.0
1766885080.1042588,116500,749.0
1766885080.8011796,117000,749.0
1766885081.5999203,117500,748.0
1766885083.8010433,119000,747.0
1766885085.8799279,120500,747.0
1766885089.571257,123000,745.0
1766885091.070777,124000,744.0
1766885092.4773753,125000,744.0
1766885093.2040694,125500,744.0
1766885097.1782503,128000,741.0
1766885099.2629132,129500,741.0
1766885100.0408807,130000,741.0
1766885100.7904222,130500,740.0
1766885101.5819068,131000,740.0
1766885103.1403904,132000,739.0
1766885105.904729,134000,739.0
1766885107.2098563,135000,739.0
1766885108.679004,136000,738.0
1766885110.2239797,137000,738.0
1766885114.1273828,139500,736.0
1766885115.5333986,140500,735.0
1766885118.4324985,142500,735.0
1766885122.6127784,145000,732.0
1766885124.1722667,146000,731.0
1766885124.9875257,146500,731.0
1766885127.3852098,148000,729.0
1766885128.954284,149000,729.0
1766885129.7536092,149500,728.0
1766885130.5514703,150000,728.0
1766885132.0644617,151000,727.0
1766885132.8942392,151500,727.0
1766885133.5809078,152000,727.0
1766885136.5945897,154000,726.0
1766885137.5699146,154500,725.0
1766885139.3809917,155500,724.0
1766885141.8020413,157000,722.0
1766885144.9377449,159000,721.0
1766885145.7909539,159500,721.0
1766885146.561361,160000,720.0
1766885147.2899718,160500,720.0
1766885148.8822005,161500,720.0
1766885150.997508,163000,720.0
1766885151.7109797,163500,719.0
1766885152.4344473,164000,719.0
1766885154.7663405,165500,719.0
1766885155.4681022,166000,719.0
1766885157.3527389,167000,717.0
1766885162.1537519,170000,715.0
1766885163.7563558,171000,715.0
1766885166.21862,172500,713.0
1766885167.273482,173000,712.0
1766885169.678353,174000,710.0
1766885170.5215547,174500,709.0
1766885174.9609027,177000,707.0
1766885175.9263122,177500,706.0
1766885177.689483,178500,705.0
1766885179.3041222,179500,704.0
1766885180.122478,180000,704.0
1766885181.0103722,180500,703.0
1766885183.405347,182000,703.0
1766885184.0744293,182500,703.0
1766885186.2162352,184000,703.0
1766885186.8630543,184500,703.0
1766885188.2364483,185500,703.0
1766885188.916725,186000,703.0
1766885190.2879126,187000,703.0
1766885193.1100173,189000,703.0
1766885193.7771297,189500,704.0
1766885194.460501,190000,704.0
1766885195.9803767,191000,703.0
1766885196.8680732,191500,703.0
1766885199.865293,193000,701.0
1766885200.681173,193500,700.0
1766885201.5072553,194000,700.0
1766885202.4727511,194500,699.0
1766885204.0607417,195500,699.0
1766885204.7778456,196000,699.0
1766885205.7003436,196500,699.0
1766885206.4443114,197000,698.0
1766885213.6536276,201500,697.0
1766885214.4490778,202000,696.0
1766885215.9631171,203000,696.0
1766885218.0845606,204500,696.0
1766885223.1182537,208000,696.0
1766885223.789597,208500,696.0
1766885226.5247855,210500,697.0
1766885227.2309937,211000,697.0
1766885227.9216583,211500,697.0
1766885229.4443686,212500,697.0
1766885230.8661306,213500,697.0
1766885233.700882,215500,697.0
1766885239.999168,220000,697.0
1766885240.6986232,220500,697.0
1766885241.3548126,221000,697.0
1766885242.088455,221500,697.0
1766885243.5365198,222500,697.0
1766885244.1749375,223000,697.0
1766885246.3160305,224500,697.0
1766885248.9421241,226000,696.0
1766885254.2432187,229500,696.0
1766885254.982906,230000,696.0
1766885255.664336,230500,696.0
1766885256.3347242,231000,696.0
1766885257.7935987,232000,696.0
1766885258.5232623,232500,696.0
1766885259.2514305,233000,696.0
1766885260.7605019,234000,696.0
1766885261.4596922,234500,696.0
1766885262.1975684,235000,696.0
1766885263.61683,236000,696.0
1766885264.9955761,237000,696.0
1766885265.7148545,237500,696.0
1766885268.5255947,239500,696.0
1766885273.4082477,243000,696.0
1766885275.4915395,244500,696.0
1766885276.127851,245000,696.0
1766885277.5912604,246000,696.0
1766885279.1315782,247000,696.0
1766885281.2259676,248500,696.0
1766885288.7656035,254000,697.0
1766885290.8494332,255500,697.0
1766885291.5761778,256000,697.0
1766885292.277035,256500,697.0
1766885293.6451974,257500,697.0
1766885295.0180557,258500,697.0
1766885295.7465525,259000,697.0
1766885297.1174371,260000,697.0
1766885300.5584722,262500,698.0
1766885301.3065372,263000,698.0
1766885305.4956508,266000,698.0
1766885306.958437,267000,698.0
1766885307.7003527,267500,698.0
1766885308.5606477,268000,698.0
1766885309.2775512,268500,698.0
1766885310.0401027,269000,697.0
1766885310.8150945,269500,697.0
1766885311.583598,270000,697.0
1766885312.3575203,270500,697.0
1766885313.1599865,271000,697.0
1766885313.860706,271500,697.0
1766885315.3361738,272500,697.0
1766885317.6505046,274000,697.0
1766885318.4582603,274500,696.0
1766885319.2155774,275000,696.0
1766885320.9892404,276000,696.0
1766885324.483426,278000,695.0
1766885326.358586,279000,694.0
1766885327.9249375,280000,694.0
1766885330.959417,282000,693.0
1766885331.78289,282500,693.0
1766885332.5322583,283000,693.0
1766885334.120526,284000,693.0
1766885335.5513334,285000,693.0
1766885337.0864873,286000,693.0
1766885338.6503184,287000,693.0
1766885339.4010777,287500,693.0
1766885341.5381982,289000,693.0
1766885342.9374795,290000,693.0
1766885343.6832864,290500,693.0
1766885344.3745146,291000,693.0
1766885345.1154096,291500,693.0
1766885345.8767862,292000,693.0
1766885346.6107368,292500,693.0
1766885348.2373161,293500,692.0
1766885349.012838,294000,692.0
1766885352.8263483,296500,692.0
1766885353.5755796,297000,692.0
1766885355.0931978,298000,692.0
1766885355.853843,298500,692.0
1766885356.573711,299000,692.0
1766885358.9541128,300500,691.0
1766885360.4268925,301500,691.0
1766885361.968991,302500,691.0
1766885363.5487022,303500,691.0
1766885364.991385,304500,691.0
1766885366.367175,305500,691.0
1766885367.0654566,306000,691.0
1766885367.7761564,306500,691.0
1766885369.9670153,308000,691.0
1766885372.9327223,310000,691.0
1766885373.673404,310500,691.0
1766885375.1172788,311500,691.0
1766885375.785088,312000,691.0
1766885377.1519506,313000,691.0
1766885379.973941,315000,691.0
1766885383.843364,317500,691.0
1766885388.924162,321000,691.0
1766885389.6756644,321500,691.0
1766885391.1462126,322500,691.0
1766885391.9219213,323000,691.0
1766885392.6687205,323500,691.0
1766885393.402542,324000,691.0
1766885394.2034867,324500,691.0
1766885395.017688,325000,690.0
1766885396.4853714,326000,690.0
1766885397.262696,326500,690.0
1766885400.4302194,328500,690.0
1766885401.2833016,329000,690.0
1766885402.943754,330000,689.0
1766885404.4019332,331000,689.0
1766885406.7380476,332500,689.0
1766885408.2667227,333500,689.0
1766885409.1286254,334000,689.0
1766885409.9040363,334500,689.0
1766885412.1196823,336000,689.0
1766885412.8092232,336500,689.0
1766885413.585469,337000,689.0
1766885414.3306081,337500,689.0
1766885415.05213,338000,689.0
1766885416.7217367,339000,688.0
1766885417.615536,339500,688.0
1766885418.5741796,340000,688.0
1766885420.1851435,341000,688.0
1766885421.1252148,341500,687.0
1766885421.9291265,342000,687.0
1766885422.702171,342500,687.0
1766885423.4644167,343000,687.0
1766885424.2625742,343500,687.0
1766885425.7433217,344500,687.0
1766885426.587121,345000,687.0
1766885428.924484,346500,687.0
1766885432.000915,348500,686.0
1766885434.2204003,350000,686.0
1766885434.8811026,350500,686.0
1766885435.664653,351000,686.0
1766885437.2223356,352000,686.0
1766885438.0511053,352500,686.0
1766885438.9461615,353000,686.0
1766885439.7406201,353500,686.0
1766885441.421648,354500,685.0
1766885442.1868267,355000,685.0
1766885442.9381478,355500,685.0
1766885446.1612587,357500,685.0
1766885449.1875556,359500,685.0
1766885449.8799891,360000,685.0
1766885451.270804,361000,685.0
1766885452.0656865,361500,685.0
1766885452.8579793,362000,685.0
1766885453.6306067,362500,685.0
1766885454.3684113,363000,685.0
1766885455.1084962,363500,685.0
1766885457.8664374,365000,684.0
1766885458.6749854,365500,684.0
1766885463.3369203,368500,684.0
1766885464.8167381,369500,683.0
1766885465.5108414,370000,684.0
1766885466.2260375,370500,684.0
1766885466.8953114,371000,684.0
1766885468.375429,372000,684.0
1766885470.452459,373500,684.0
1766885471.2804961,374000,684.0
1766885473.5983245,375500,683.0
1766885474.3550668,376000,683.0
1766885475.1452286,376500,683.0
1766885476.6528158,377500,683.0
1766885478.1336987,378500,683.0
1766885480.4290679,380000,683.0
1766885481.1435807,380500,683.0
1766885482.6930795,381500,683.0
1766885485.0126846,383000,683.0
1766885485.7729495,383500,683.0
1766885486.480951,384000,683.0
1766885488.0401914,385000,683.0
1766885488.717637,385500,683.0
1766885489.4763684,386000,683.0
1766885490.8988008,387000,683.0
1766885491.6742833,387500,683.0
1766885492.4020045,388000,683.0
1766885496.3532476,390500,682.0
1766885499.307487,392500,682.0
1766885500.0786102,393000,682.0
1766885501.5038767,394000,682.0
1766885503.0035264,395000,682.0
1766885504.4906583,396000,682.0
1766885505.3152876,396500,682.0
1766885506.0070148,397000,682.0
1766885506.7161925,397500,682.0
1766885507.427154,398000,682.0
1766885508.1446693,398500,682.0
1766885509.5389032,399500,682.0
1766885510.990209,400500,683.0
1766885512.422281,401500,683.0
1766885514.6810212,403000,682.0
1766885516.351221,404000,682.0
1766885517.07915,404500,682.0
1766885517.8364625,405000,682.0
1766885521.4795597,407000,681.0
1766885523.0774052,408000,681.0
1766885523.9162922,408500,681.0
1766885525.3884728,409500,681.0
1766885527.6403062,411000,681.0
1766885529.0077624,412000,681.0
1766885529.7227993,412500,681.0
1766885530.518406,413000,681.0
1766885532.8545523,414500,681.0
1766885535.0733435,416000,681.0
1766885535.8084009,416500,681.0
1766885537.3440564,417500,681.0
1766885538.8066652,418500,681.0
1766885540.1978045,419500,681.0
1766885543.7699382,422000,681.0
1766885545.2080853,423000,681.0
1766885545.8560088,423500,681.0
1766885546.5691264,424000,681.0
1766885547.3517683,424500,681.0
1766885549.3942227,426000,681.0
1766885553.6581385,429000,681.0
1766885555.1824908,430000,681.0
1766885555.9400432,430500,681.0
1766885556.726023,431000,681.0
1766885557.4647708,431500,681.0
1766885558.2521508,432000,681.0
1766885561.9215913,434000,680.0
1766885563.4898536,435000,680.0
1766885564.2097921,435500,680.0
1766885566.3791144,437000,680.0
1766885567.250827,437500,680.0
1766885568.032001,438000,680.0
1766885568.7657793,438500,680.0
1766885569.6344223,439000,680.0
1766885571.1114419,440000,680.0
1766885571.8317974,440500,680.0
1766885572.5182638,441000,680.0
1766885573.2221313,441500,680.0
1766885574.6638894,442500,680.0
1766885576.795567,444000,680.0
1766885578.3368263,445000,680.0
1766885579.1862495,445500,680.0
1766885581.0111458,446500,680.0
1766885581.7085047,447000,680.0
1766885583.9941275,448500,680.0
1766885584.7069304,449000,680.0
1766885586.2247372,450000,680.0
1766885586.9250696,450500,680.0
1766885592.1954002,454000,680.0
1766885592.934799,454500,680.0
1766885593.704742,455000,680.0
1766885594.4636664,455500,679.0
1766885595.2259817,456000,679.0
1766885595.970214,456500,679.0
1766885596.7122023,457000,679.0
1766885598.2988608,458000,679.0
1766885599.0183501,458500,679.0
1766885599.782659,459000,679.0
1766885601.8900692,460500,679.0
1766885602.736117,461000,679.0
1766885603.4398885,461500,679.0
1766885604.1677346,462000,679.0
1766885605.6141975,463000,679.0
1766885610.65794,466000,679.0
1766885611.4147897,466500,679.0
1766885612.201925,467000,679.0
1766885613.6339514,468000,679.0
1766885616.5117166,470000,679.0
1766885618.7080228,471500,679.0
1766885621.2109022,473000,679.0
1766885624.258921,475000,678.0
1766885626.4507444,476500,678.0
1766885627.1794946,477000,678.0
1766885627.877252,477500,678.0
1766885629.3181062,478500,679.0
1766885630.112662,479000,678.0
1766885630.835985,479500,678.0
1766885632.9778092,481000,679.0
1766885633.687829,481500,679.0
1766885635.0648682,482500,679.0
1766885636.4981997,483500,679.0
1766885637.1677125,484000,679.0
1766885638.6298137,485000,679.0
1766885639.9980352,486000,679.0
1766885640.7350802,486500,679.0
1766885642.3287885,487500,679.0
1766885643.763088,488500,679.0
1766885644.4320185,489000,679.0
1766885645.1200814,489500,679.0
1766885645.7949998,490000,679.0
1766885647.9727519,491500,679.0
1766885648.6945941,492000,679.0
1766885649.5216618,492500,679.0
1766885651.8869088,494000,679.0
1766885652.7228577,494500,679.0
1766885659.4419186,498500,678.0
1766885661.852697,500000,678.0
1766885662.6843426,500500,678.0
1766885664.282189,501500,678.0
1766885666.1349235,502500,677.0
1766885666.956448,503000,677.0
1766885669.3320162,504500,677.0
1766885670.1393933,505000,677.0
1766885671.7896824,506000,677.0
1766885672.5906537,506500,677.0
1766885673.3808546,507000,677.0
1766885674.1544,507500,677.0
1766885676.3629067,509000,677.0
1766885682.1223514,513000,677.0
1766885682.8936472,513500,677.0
1766885683.6757166,514000,677.0
1766885685.0768952,515000,677.0
1766885686.4346156,516000,677.0
1766885687.1056805,516500,677.0
1766885687.8081825,517000,677.0
1766885689.3016233,518000,677.0
1766885690.8055866,519000,677.0
1766885691.5232263,519500,677.0
1766885692.2108889,520000,677.0
1766885694.4298134,521500,677.0
1766885695.2081766,522000,677.0
1766885695.896828,522500,677.0
1766885699.6547167,525000,677.0
1766885701.1711102,526000,677.0
1766885702.1040623,526500,677.0
1766885704.0005555,527500,676.0
1766885704.9079926,528000,676.0
1766885706.457616,529000,676.0
1766885711.1722982,532000,676.0
1766885711.8767238,532500,676.0
1766885713.4431827,533500,676.0
1766885714.9876077,534500,676.0
1766885718.0175319,536500,676.0
1766885719.5524924,537500,676.0
1766885721.0852401,538500,676.0
1766885722.4757934,539500,676.0
1766885723.8893006,540500,676.0
1766885725.4127626,541500,676.0
1766885726.1942399,542000,676.0
1766885726.8893192,542500,676.0
1766885727.6642294,543000,676.0
1766885728.3949013,543500,676.0
1766885731.6603343,545500,675.0
1766885733.1542711,546500,675.0
1766885733.8805568,547000,675.0
1766885738.4937155,550000,675.0
1766885740.1874187,551000,675.0
1766885742.088014,552000,675.0
1766885742.9256172,552500,675.0
1766885743.6588867,553000,675.0
1766885748.4061196,556000,674.0
1766885750.6749306,557500,674.0
1766885752.1872659,558500,674.0
1766885754.3040798,560000,674.0
1766885756.3567388,561500,675.0
1766885757.098302,562000,675.0
1766885758.473876,563000,675.0
1766885759.1395667,563500,675.0
1766885759.8377116,564000,675.0
1766885760.536911,564500,675.0
1766885761.9270694,565500,675.0
1766885762.6309748,566000,675.0
1766885763.976041,567000,675.0
1766885764.6808383,567500,675.0
1766885765.3629375,568000,675.0
1766885767.4393609,569500,675.0
1766885768.1080203,570000,675.0
1766885769.5303323,571000,675.0
1766885775.0412793,575000,676.0
1766885775.7161808,575500,676.0
1766885776.386967,576000,676.0
1766885777.054069,576500,676.0
1766885779.1131568,578000,676.0
1766885779.8031824,578500,676.0
1766885780.5003014,579000,676.0
1766885782.5645838,580500,676.0
1766885783.3105817,581000,676.0
1766885783.9762177,581500,676.0
1766885786.0821354,583000,676.0
1766885794.6920085,589000,676.0
1766885797.5699794,590500,676.0
1766885799.2253723,591500,676.0
1766885800.0370562,592000,676.0
1766885801.5441227,593000,676.0
1766885802.223619,593500,676.0
1766885804.518801,595000,676.0
1766885807.1682577,596500,675.0
1766885808.0429041,597000,675.0
1766885808.8332312,597500,675.0
1766885809.6459792,598000,675.0
1766885810.4759762,598500,675.0
1766885811.308665,599000,675.0
1766885812.0044782,599500,675.0
1766885812.7844174,600000,675.0
1766885814.5239336,601000,675.0
1766885816.2281234,602000,675.0
1766885816.9340186,602500,675.0
1766885818.5681245,603500,675.0
1766885820.1523001,604500,675.0
1766885821.7656822,605500,674.0
1766885822.576303,606000,674.0
1766885823.308458,606500,674.0
1766885824.0868306,607000,674.0
1766885824.8995442,607500,674.0
1766885825.7253735,608000,674.0
1766885828.8659358,610000,674.0
1766885832.570882,612500,674.0
1766885833.4344213,613000,674.0
1766885835.286524,614000,674.0
1766885836.5593572,614500,673.0
1766885840.1719055,616500,673.0
1766885840.9086523,617000,673.0
1766885841.6921842,617500,673.0
1766885843.1736238,618500,673.0
1766885845.464732,620000,673.0
1766885847.8694272,621500,673.0
1766885849.3875117,622500,673.0
1766885850.7711027,623500,673.0
1766885851.5015905,624000,673.0
1766885852.908519,625000,673.0
1766885853.5489187,625500,673.0
1766885855.5911295,627000,673.0
1766885856.3278158,627500,673.0
1766885856.9700916,628000,673.0
1766885858.5968556,629000,673.0
1766885859.3332672,629500,673.0
1766885860.0111284,630000,673.0
1766885861.4468353,631000,673.0
1766885862.1918068,631500,673.0
1766885862.952465,632000,673.0
1766885863.658438,632500,673.0
1766885864.3974469,633000,673.0
1766885865.3565376,633500,673.0
1766885869.5796926,636000,673.0
1766885870.352081,636500,673.0
1766885871.8739445,637500,672.0
1766885874.7100198,639500,673.0
1766885875.4372532,640000,673.0
1766885876.7869365,641000,673.0
1766885880.0872593,643000,672.0
1766885881.9717357,644000,672.0
1766885883.5149257,645000,672.0
1766885884.994481,646000,672.0
1766885885.7245607,646500,672.0
1766885886.531205,647000,672.0
1766885887.306017,647500,672.0
1766885888.9109147,648500,672.0
1766885891.288211,650000,672.0
1766885892.0621722,650500,672.0
1766885893.576313,651500,672.0
1766885894.302023,652000,672.0
1766885895.06731,652500,672.0
1766885896.6557646,653500,672.0
1766885899.5017917,655500,672.0
1766885900.8998654,656500,672.0
1766885901.5782945,657000,672.0
1766885902.923226,658000,672.0
1766885903.6379824,658500,672.0
1766885905.8291862,660000,672.0
1766885906.4875143,660500,672.0
1766885910.4850504,663000,672.0
1766885911.375376,663500,672.0
1766885912.2524517,664000,672.0
