Wall time,Step,Value
1766883380.4994133,761,1123.0
1766883380.6266184,923,1146.0
1766883381.0894735,1492,1177.0
1766883381.1700666,1578,1170.0
1766883381.3311608,1765,1169.0
1766883381.444199,1904,1173.0
1766883381.5728226,2044,1167.0
1766883382.1138256,2733,1192.0
1766883382.2695944,2935,1199.0
1766883382.3893642,3018,1175.0
1766883382.9919045,3626,1143.0
1766883383.8695855,4553,1124.0
1766883384.2207677,4949,1125.0
1766883384.6100156,5437,1135.0
1766883384.7491765,5598,1136.0
1766883385.1727767,6049,1130.0
1766883385.2682111,6165,1131.0
1766883385.4531455,6391,1134.0
1766883385.6310377,6605,1136.0
1766883385.7003255,6690,1138.0
1766883386.065648,7129,1141.0
1766883386.1410394,7221,1142.0
1766883386.2100003,7312,1144.0
1766883386.250997,7356,1144.0
1766883386.3132136,7431,1144.0
1766883386.6799748,7882,1149.0
1766883386.8808687,8130,1151.0
1766883387.0624034,8367,1155.0
1766883387.284586,8621,1155.0
1766883387.3684824,8731,1156.0
1766883387.4380364,8824,1158.0
1766883387.66235,9071,1156.0
1766883387.771314,9221,1159.0
1766883387.8462837,9315,1160.0
1766883387.9762383,9410,1153.0
1766883388.600852,10035,1143.0
1766883389.1283045,10669,1146.0
1766883389.1979952,10752,1146.0
1766883389.560395,11172,1147.0
1766883389.724352,11348,1145.0
1766883389.8559914,11498,1145.0
1766883390.5143418,12236,1144.0
1766883391.3894346,13220,1142.0
1766883391.7394762,13634,1144.0
1766883391.8603485,13791,1145.0
1766883392.772547,14469,1117.0
1766883393.4630349,15056,1103.0
1766883393.7356353,15314,1100.0
1766883394.4861097,16158,1101.0
1766883394.633087,16316,1101.0
1766883394.685087,16360,1100.0
1766883395.2135563,16798,1091.0
1766883395.2698035,16846,1090.0
1766883396.151655,17645,1080.0
1766883396.3741112,17903,1081.0
1766883396.6450114,18142,1078.0
1766883396.8567498,18326,1075.0
1766883397.031641,18516,1075.0
1766883397.1801713,18631,1073.0
1766883397.7658331,19172,1068.0
1766883398.3584123,19801,1068.0
1766883398.620314,20069,1067.0
1766883398.7147665,20158,1066.0
1766883398.8213246,20273,1067.0
1766883399.1996632,20736,1070.0
1766883399.5906777,21013,1062.0
1766883399.8316448,21255,1062.0
1766883399.9252663,21321,1060.0
1766883400.3055055,21668,1057.0
1766883400.8220136,22215,1057.0
1766883401.0098486,22377,1056.0
1766883401.1577926,22559,1057.0
1766883401.3071654,22736,1058.0
1766883401.5371206,22976,1058.0
1766883401.8106766,23275,1058.0
1766883401.9269185,23420,1059.0
1766883402.1640956,23718,1061.0
1766883402.4059021,24016,1063.0
1766883402.5303445,24179,1064.0
1766883403.5333066,25144,1060.0
1766883404.5441926,26141,1057.0
1766883404.791667,26386,1056.0
1766883404.8707716,26469,1056.0
1766883405.3615472,26985,1056.0
1766883406.2860136,27979,1057.0
1766883406.9507153,28580,1053.0
1766883407.0465283,28655,1052.0
1766883407.4112756,29006,1051.0
1766883407.6397088,29179,1048.0
1766883407.9063647,29463,1049.0
1766883408.778734,30305,1046.0
1766883408.8491178,30379,1046.0
1766883409.0322087,30560,1046.0
1766883409.3518517,30771,1042.0
1766883410.6683974,32179,1043.0
