Wall time,Step,Value
1766886639.0993688,2048,2725.0
1766886640.6341243,4096,1791.0
1766886642.1279566,6144,1625.0
1766886643.614746,8192,1555.0
1766886645.2309613,10240,1487.0
1766886646.7912772,12288,1455.0
1766886648.3445349,14336,1434.0
1766886649.872494,16384,1421.0
1766886651.4635112,18432,1405.0
1766886653.1264215,20480,1385.0
1766886655.27297,22528,1331.0
1766886656.8967798,24576,1325.0
1766886658.5036564,26624,1320.0
1766886660.073266,28672,1319.0
1766886661.7290113,30720,1313.0
1766886663.4292092,32768,1306.0
1766886665.1159737,34816,1300.0
1766886666.8086882,36864,1295.0
1766886668.5637498,38912,1287.0
1766886670.498064,40960,1274.0
1766886672.393636,43008,1263.0
1766886674.1179821,45056,1259.0
1766886676.0277858,47104,1250.0
1766886678.0860708,49152,1236.0
1766886679.87878,51200,1232.0
1766886681.7251925,53248,1227.0
1766886683.4627268,55296,1225.0
1766886685.5961177,57344,1213.0
1766886687.5786812,59392,1206.0
1766886689.399766,61440,1203.0
1766886691.2757926,63488,1199.0
1766886693.148895,65536,1195.0
1766886695.0235522,67584,1192.0
1766886696.872767,69632,1189.0
1766886698.7087002,71680,1187.0
1766886700.504924,73728,1186.0
1766886702.5896797,75776,1179.0
1766886704.783665,77824,1171.0
1766886706.6561284,79872,1169.0
1766886708.6189106,81920,1165.0
1766886710.396939,83968,1165.0
1766886712.2043443,86016,1164.0
1766886713.956051,88064,1164.0
1766886715.6986563,90112,1164.0
1766886717.5861225,92160,1163.0
1766886719.4079301,94208,1162.0
1766886721.238948,96256,1161.0
1766886723.0939693,98304,1159.0
1766886725.0460389,100352,1157.0
1766886727.1114316,102400,1153.0
1766886729.3329434,104448,1147.0
1766886731.3064003,106496,1145.0
1766886733.382372,108544,1142.0
1766886735.2073176,110592,1141.0
1766886737.1767833,112640,1139.0
1766886739.1630838,114688,1137.0
1766886741.1307874,116736,1135.0
1766886743.078033,118784,1134.0
1766886745.1520221,120832,1131.0
1766886747.2490764,122880,1128.0
1766886749.4834933,124928,1124.0
1766886751.391264,126976,1123.0
1766886753.2636008,129024,1122.0
1766886755.2840044,131072,1120.0
1766886757.2846627,133120,1119.0
1766886759.1496983,135168,1118.0
1766886761.2198071,137216,1116.0
1766886763.473315,139264,1112.0
1766886765.5421169,141312,1110.0
1766886767.5055926,143360,1109.0
1766886769.390785,145408,1109.0
1766886771.3537908,147456,1108.0
1766886773.2899456,149504,1107.0
1766886775.2018175,151552,1107.0
1766886777.1667113,153600,1106.0
1766886779.130929,155648,1105.0
1766886781.2599587,157696,1103.0
1766886783.2198336,159744,1102.0
1766886785.4473372,161792,1099.0
1766886787.5319083,163840,1098.0
1766886789.5885017,165888,1096.0
1766886791.704788,167936,1095.0
1766886793.655278,169984,1094.0
1766886795.5301049,172032,1094.0
1766886797.3910108,174080,1094.0
1766886799.2231436,176128,1094.0
1766886801.0671506,178176,1094.0
1766886803.057029,180224,1094.0
1766886805.243024,182272,1092.0
1766886807.259579,184320,1091.0
1766886809.2989993,186368,1090.0
1766886811.2738335,188416,1089.0
1766886813.2871304,190464,1088.0
1766886815.3852797,192512,1087.0
1766886817.902378,194560,1083.0
1766886820.097428,196608,1081.0
1766886821.998782,198656,1081.0
1766886824.0512824,200704,1080.0
1766886825.9885573,202752,1080.0
1766886827.9023218,204800,1080.0
1766886829.7932436,206848,1080.0
1766886831.879191,208896,1079.0
1766886833.9278564,210944,1078.0
1766886835.955009,212992,1077.0
1766886838.0996811,215040,1076.0
1766886840.2221463,217088,1075.0
1766886842.2412755,219136,1074.0
1766886844.3073568,221184,1073.0
1766886846.5472395,223232,1072.0
1766886848.7450552,225280,1070.0
1766886850.7537255,227328,1070.0
1766886852.660129,229376,1070.0
1766886854.5564048,231424,1070.0
1766886856.5716832,233472,1069.0
1766886858.5975862,235520,1069.0
1766886860.5942183,237568,1068.0
1766886862.4856308,239616,1069.0
1766886864.5025194,241664,1068.0
1766886866.675999,243712,1067.0
1766886868.8424299,245760,1066.0
1766886871.3965397,247808,1063.0
1766886873.4732015,249856,1062.0
1766886875.560741,251904,1061.0
1766886877.5959222,253952,1061.0
1766886879.493476,256000,1061.0
1766886881.3493917,258048,1061.0
1766886883.259667,260096,1061.0
1766886885.0997243,262144,1062.0
1766886886.9718165,264192,1062.0
1766886888.8010106,266240,1063.0
1766886890.7252197,268288,1063.0
1766886892.5766149,270336,1063.0
1766886894.3653584,272384,1063.0
1766886896.23852,274432,1064.0
1766886898.0411897,276480,1064.0
1766886899.9120133,278528,1064.0
1766886901.8211737,280576,1064.0
1766886903.6791184,282624,1065.0
1766886905.5015671,284672,1065.0
1766886907.3818007,286720,1065.0
1766886909.2814388,288768,1065.0
1766886911.1064377,290816,1066.0
1766886913.0118275,292864,1066.0
1766886914.8481462,294912,1066.0
1766886916.7154334,296960,1066.0
1766886918.742554,299008,1066.0
1766886920.5857527,301056,1066.0
1766886922.4390786,303104,1066.0
1766886924.3429518,305152,1066.0
1766886926.1806746,307200,1067.0
1766886928.069125,309248,1067.0
1766886929.8920572,311296,1067.0
1766886931.7223117,313344,1068.0
1766886933.612474,315392,1068.0
1766886935.447319,317440,1068.0
1766886937.2732022,319488,1068.0
1766886939.1110682,321536,1069.0
1766886940.9441693,323584,1069.0
1766886942.8175054,325632,1069.0
1766886944.7373364,327680,1069.0
1766886946.5220058,329728,1069.0
1766886948.404365,331776,1070.0
1766886950.2591488,333824,1070.0
1766886952.075577,335872,1070.0
1766886953.9375567,337920,1070.0
1766886955.875488,339968,1070.0
1766886957.7088826,342016,1070.0
1766886959.5365427,344064,1071.0
1766886961.382224,346112,1071.0
1766886963.2291398,348160,1071.0
1766886965.0435789,350208,1071.0
1766886966.9115949,352256,1072.0
1766886968.873115,354304,1071.0
1766886970.9632487,356352,1071.0
1766886973.2645135,358400,1070.0
1766886975.2831264,360448,1069.0
1766886977.1542099,362496,1069.0
1766886979.2417648,364544,1069.0
1766886981.270199,366592,1069.0
1766886983.325395,368640,1068.0
1766886985.5055099,370688,1067.0
1766886987.444289,372736,1067.0
1766886989.286891,374784,1067.0
1766886991.238672,376832,1067.0
1766886993.0947518,378880,1068.0
1766886994.9243639,380928,1068.0
1766886996.8758483,382976,1068.0
